job_name,status,creation_time,training_end_time,objective_value
hpo-full-1751555388-032-dcdd3022,Completed,2025-07-03 15:18:23+00:00,2025-07-03 15:19:00+00:00,1.0
hpo-full-1751555388-021-f66675f8,Completed,2025-07-03 15:15:37+00:00,2025-07-03 15:16:14+00:00,1.0
hpo-full-1751555388-009-a7d0c81a,Completed,2025-07-03 15:13:04+00:00,2025-07-03 15:13:38+00:00,0.9996700286865234
hpo-full-1751555388-022-b7bfbc62,Completed,2025-07-03 15:15:51+00:00,2025-07-03 15:16:28+00:00,0.9995399713516235
hpo-full-1751555388-036-06f529f1,Completed,2025-07-03 15:19:19+00:00,2025-07-03 15:19:54+00:00,0.999459981918335
hpo-full-1751555388-039-b49295c4,Completed,2025-07-03 15:19:51+00:00,2025-07-03 15:20:27+00:00,0.9989799857139587
hpo-full-1751555388-025-ece36c67,Completed,2025-07-03 15:16:26+00:00,2025-07-03 15:17:06+00:00,0.9988099932670593
hpo-full-1751555388-030-89046499,Completed,2025-07-03 15:17:50+00:00,2025-07-03 15:18:27+00:00,0.998449981212616
hpo-full-1751555388-014-ec44ad21,Completed,2025-07-03 15:14:10+00:00,2025-07-03 15:14:43+00:00,0.9978899955749512
hpo-full-1751555388-044-ebfc71fc,Completed,2025-07-03 15:21:08+00:00,2025-07-03 15:21:42+00:00,0.9964500069618225
hpo-full-1751555388-043-252e2b52,Completed,2025-07-03 15:20:45+00:00,2025-07-03 15:21:23+00:00,0.9923400282859802
hpo-full-1751555388-013-a26c9870,Completed,2025-07-03 15:13:56+00:00,2025-07-03 15:14:29+00:00,0.9916999936103821
hpo-full-1751555388-048-655dcaf4,Completed,2025-07-03 15:21:59+00:00,2025-07-03 15:22:33+00:00,0.991379976272583
hpo-full-1751555388-040-12f0407e,Completed,2025-07-03 15:20:13+00:00,2025-07-03 15:20:51+00:00,0.9910399913787842
hpo-full-1751555388-026-29853f43,Completed,2025-07-03 15:16:46+00:00,2025-07-03 15:17:22+00:00,0.9839000105857849
hpo-full-1751555388-006-00532320,Completed,2025-07-03 15:12:22+00:00,2025-07-03 15:12:56+00:00,0.9818999767303467
hpo-full-1751555388-001-b070d820,Completed,2025-07-03 15:09:55+00:00,2025-07-03 15:12:08+00:00,0.9796000123023987
hpo-full-1751555388-018-b22bbec5,Completed,2025-07-03 15:14:58+00:00,2025-07-03 15:15:36+00:00,0.9109799861907959
hpo-full-1751555388-047-7c8c7717,Completed,2025-07-03 15:21:43+00:00,2025-07-03 15:22:17+00:00,0.8952900171279907
hpo-full-1751555388-035-16d346ba,Completed,2025-07-03 15:18:53+00:00,2025-07-03 15:19:26+00:00,0.8835099935531616
hpo-full-1751555388-010-26da9779,Completed,2025-07-03 15:13:17+00:00,2025-07-03 15:13:50+00:00,0.8580800294876099
hpo-full-1751555388-003-06541d2e,Completed,2025-07-03 15:09:59+00:00,2025-07-03 15:12:05+00:00,0.849560022354126
hpo-full-1751555388-005-087dc678,Completed,2025-07-03 15:12:10+00:00,2025-07-03 15:12:49+00:00,0.8437100052833557
hpo-full-1751555388-028-5d8a9412,Completed,2025-07-03 15:17:21+00:00,2025-07-03 15:18:04+00:00,0.8043199777603149
hpo-full-1751555388-017-82dc0d88,Completed,2025-07-03 15:14:45+00:00,2025-07-03 15:15:21+00:00,0.7255499958992004
